query,intent
Inform about travel for debit,travel_notification
Email business tax records,tax_document_request
Show checking transfer boundaries,account_transfer_limits
Change checking account nickname,account_nickname
Restrict my credit card,block_card
Show my debit rewards balance,card_rewards
Get info on checking business account,business_account_inquiry
Reset PIN for my mastercard,pin_reset
Get mastercard expiration status,card_expiration
Provide mastercard rewards details,card_rewards
Enable direct deposit to my business,direct_deposit
Settle my debit payment,payment
Appeal a business billing issue,dispute_charge
Enable direct deposit to my business,direct_deposit
Up my mastercard credit ceiling,credit_limit_increase
List savings transfer constraints,account_transfer_limits
Activate overdraft on checking,overdraft_protection
Pay off my phone,bill_payment
Set overdraft for joint,overdraft_protection
Question a joint transaction,dispute_charge
Send me savings checks,check_order
What’s the expiry of my mastercard?,card_expiration
Create a new visa PIN,pin_reset
Set up my new visa,card_activation
Add a savings goal to my business,savings_goal
Tell me my savings amount,balance
Set up checking overdraft protection,overdraft_protection
Review my joint transaction log,transaction_history
Flag a personal charge error,dispute_charge
Get a new credit card,replace_card
Send $100 to brother,transfer
Send my joint statement,account_statement
Show my credit score report,credit_score_check
Terminate my business profile,close_account
Set up direct deposit for checking,direct_deposit
Provide checking investment details,investment_options
Provide home mortgage details,mortgage_inquiry
Lock my debit immediately,block_card
Reset my debit PIN,pin_reset
See my letter status details,letter_status
Freeze my personal account,account_freeze
Explain personal business account features,business_account_inquiry
Set savings nickname,account_nickname
Get my credit score information,credit_score_check
Email savings tax records,tax_document_request
Report fraud on my personal,fraud_report
What are home mortgage rates?,mortgage_inquiry
Where is the nearest bank branch?,branch_locator
Modify my visa PIN number,pin_reset
Set up joint savings objective,savings_goal
Set a balance alert for joint,account_balance_alert
Close my business account,close_account
Set my business for direct deposit,direct_deposit
View my checking statement,account_statement
Register travel for my visa,travel_notification
Update checking with a nickname,account_nickname
Execute a savings wire transfer,wire_transfer
Cancel a pending business payment,stop_payment
Flag a business scam transaction,fraud_report
End my savings account,close_account
Replace my lost mastercard,replace_card
Modify my debit PIN number,pin_reset
What’s the status of my checking business?,business_account_inquiry
Share business mortgage information,mortgage_inquiry
Change my contact,update_info
Change my contact contact info,update_info
Check my recent personal transactions,transaction_history
Review my credit score status,credit_score_check
Set up a joint joint account,joint_account
Shut down my checking,close_account
Initiate a new business account,open_account
Create a phone recurring payment,recurring_payment
Confirm my joint setup,account_verification
Begin a personal banking account,open_account
Clear my visa balance,payment
Track my letter delivery,letter_status
Cancel a business transaction,stop_payment
Set a savings goal for my savings,savings_goal
Get cash of one hundred dollars from personal ATM,atm_withdrawal
I want to borrow for a business,loan_application
View my joint transaction details,transaction_history
Update on my letter request,letter_status
Clear my electricity dues,bill_payment
Cancel my checking account,close_account
Enable savings online banking,mobile_banking
End my personal account,close_account
Set up checking savings objective,savings_goal
Guide me with my login problem,customer_support
Raise my debit credit limit,credit_limit_increase
What are my recent checking charges?,transaction_history
Activate recurring internet payment,recurring_payment
Email business tax records,tax_document_request
Order checks for my business,check_order
Cancel a savings transaction,stop_payment
Tell me my personal amount,balance
Flag fraudulent personal activity,fraud_report
Update business with a nickname,account_nickname
Set internet payment to recur,recurring_payment
ATM withdrawal of one hundred dollars from checking,atm_withdrawal
Activate my mastercard for use,card_activation
Provide checks for business,check_order
Inform about travel for mastercard,travel_notification
Process a checking wire transfer,wire_transfer
Track business balance with alerts,account_balance_alert
Send payment for internet,bill_payment
Email my savings statement,account_statement
Apply for a car loan,loan_application
Turn on checking overdraft,overdraft_protection
Check my letter status,letter_status
Show my business total,balance
Check personal account fees,fee_inquiry
Cover my electricity charges,bill_payment
Set a travel notification for my mastercard,travel_notification
Block a personal payment,stop_payment
Open an account for savings,open_account
Expand my credit credit,credit_limit_increase
Clear my phone dues,bill_payment
What fees apply to personal?,fee_inquiry
Clear my credit balance,payment
Provide my business account statement,account_statement
Authenticate my personal,account_verification
Get fifty dollars from ATM using savings,atm_withdrawal
Request checks for my business,check_order
Modify my mastercard PIN number,pin_reset
Tell me about savings interest,interest_rates
Show my last business payments,transaction_history
Update on my letter request,letter_status
Monitor visa for block alerts,card_block_notification
Cancel a pending savings payment,stop_payment
Track credit block status,card_block_notification
Send payment for my credit,payment
Tell me my savings amount,balance
See my letter status details,letter_status
Link a joint owner to joint,joint_account
Wire one hundred dollars to sister,transfer
Inquire about my checking business account,business_account_inquiry
See my savings purchase history,transaction_history
Elevate my debit card limit,credit_limit_increase
Request a car loan,loan_application
Link a joint owner to business,joint_account
Add a electricity recurring payment,recurring_payment
Configure savings for direct deposit,direct_deposit
Clear my credit balance,payment
Provide my joint account statement,account_statement
Display my recent personal transfers,transaction_history
