query,intent
What's my current balance?,balance
How much money is in my account?,balance
Show my checking account balance,balance
Can you tell me my savings balance?,balance
What’s the balance on my account?,balance
Check my account funds,balance
"My account balance, please",balance
How much is left in my account?,balance
Display my balance,balance
What’s my bank balance?,balance
Tell me my account balance,balance
Show me how much I have,balance
What’s in my checking account?,balance
"Balance check, please",balance
How much do I have left?,balance
Transfer $200 to my friend,transfer
Send money to my sister’s account,transfer
Move $100 to my savings,transfer
I want to transfer funds,transfer
Can I send $50 to John?,transfer
Transfer money to my checking,transfer
Wire $300 to another account,transfer
Pay $75 to my vendor,transfer
Send funds to my business account,transfer
Make a money transfer,transfer
Shift $150 to my other account,transfer
Send $500 to my mom,transfer
Transfer funds now,transfer
Move money to my credit card,transfer
Pay someone $200,transfer
What is my block card?,block_card
How do I block card?,block_card
Can you help with block card?,block_card
Show my block card,block_card
Check my block card,block_card
I want to block card,block_card
Tell me about block card,block_card
Display my block card,block_card
Manage my block card,block_card
Update my block card,block_card
View my block card,block_card
Handle my block card,block_card
Access my block card,block_card
My block card details,block_card
Perform block card,block_card
What is my transaction history?,transaction_history
How do I transaction history?,transaction_history
Can you help with transaction history?,transaction_history
Show my transaction history,transaction_history
Check my transaction history,transaction_history
I want to transaction history,transaction_history
Tell me about transaction history,transaction_history
Display my transaction history,transaction_history
Manage my transaction history,transaction_history
Update my transaction history,transaction_history
View my transaction history,transaction_history
Handle my transaction history,transaction_history
Access my transaction history,transaction_history
My transaction history details,transaction_history
Perform transaction history,transaction_history
What is my payment?,payment
How do I payment?,payment
Can you help with payment?,payment
Show my payment,payment
Check my payment,payment
I want to payment,payment
Tell me about payment,payment
Display my payment,payment
Manage my payment,payment
Update my payment,payment
View my payment,payment
Handle my payment,payment
Access my payment,payment
My payment details,payment
Perform payment,payment
What is my open account?,open_account
How do I open account?,open_account
Can you help with open account?,open_account
Show my open account,open_account
Check my open account,open_account
I want to open account,open_account
Tell me about open account,open_account
Display my open account,open_account
Manage my open account,open_account
Update my open account,open_account
View my open account,open_account
Handle my open account,open_account
Access my open account,open_account
My open account details,open_account
Perform open account,open_account
What is my reset pin?,reset_pin
How do I reset pin?,reset_pin
Can you help with reset pin?,reset_pin
Show my reset pin,reset_pin
Check my reset pin,reset_pin
I want to reset pin,reset_pin
Tell me about reset pin,reset_pin
Display my reset pin,reset_pin
Manage my reset pin,reset_pin
Update my reset pin,reset_pin
View my reset pin,reset_pin
Handle my reset pin,reset_pin
Access my reset pin,reset_pin
My reset pin details,reset_pin
Perform reset pin,reset_pin
What is my bank statement?,bank_statement
How do I bank statement?,bank_statement
Can you help with bank statement?,bank_statement
Show my bank statement,bank_statement
Check my bank statement,bank_statement
I want to bank statement,bank_statement
Tell me about bank statement,bank_statement
Display my bank statement,bank_statement
Manage my bank statement,bank_statement
Update my bank statement,bank_statement
View my bank statement,bank_statement
Handle my bank statement,bank_statement
Access my bank statement,bank_statement
My bank statement details,bank_statement
Perform bank statement,bank_statement
What is my update info?,update_info
How do I update info?,update_info
Can you help with update info?,update_info
Show my update info,update_info
Check my update info,update_info
I want to update info,update_info
Tell me about update info,update_info
Display my update info,update_info
Manage my update info,update_info
Update my update info,update_info
View my update info,update_info
Handle my update info,update_info
Access my update info,update_info
My update info details,update_info
Perform update info,update_info
What is my credit card payment?,credit_card_payment
How do I credit card payment?,credit_card_payment
Can you help with credit card payment?,credit_card_payment
Show my credit card payment,credit_card_payment
Check my credit card payment,credit_card_payment
I want to credit card payment,credit_card_payment
Tell me about credit card payment,credit_card_payment
Display my credit card payment,credit_card_payment
Manage my credit card payment,credit_card_payment
Update my credit card payment,credit_card_payment
View my credit card payment,credit_card_payment
Handle my credit card payment,credit_card_payment
Access my credit card payment,credit_card_payment
My credit card payment details,credit_card_payment
Perform credit card payment,credit_card_payment
What is my loan status?,loan_status
How do I loan status?,loan_status
Can you help with loan status?,loan_status
Show my loan status,loan_status
Check my loan status,loan_status
I want to loan status,loan_status
Tell me about loan status,loan_status
Display my loan status,loan_status
Manage my loan status,loan_status
Update my loan status,loan_status
View my loan status,loan_status
Handle my loan status,loan_status
Access my loan status,loan_status
My loan status details,loan_status
Perform loan status,loan_status
What is my exchange rate?,exchange_rate
